200      GET      683l     1813w    32797c http://10.129.64.97/
301      GET        2l       10w      150c http://10.129.64.97/images => http://10.129.64.97/images/
301      GET        2l       10w      147c http://10.129.64.97/css => http://10.129.64.97/css/
301      GET        2l       10w      150c http://10.129.64.97/Images => http://10.129.64.97/Images/
301      GET        2l       10w      149c http://10.129.64.97/fonts => http://10.129.64.97/fonts/
301      GET        2l       10w      147c http://10.129.64.97/CSS => http://10.129.64.97/CSS/
301      GET        2l       10w      147c http://10.129.64.97/Css => http://10.129.64.97/Css/
301      GET        2l       10w      150c http://10.129.64.97/IMAGES => http://10.129.64.97/IMAGES/
301      GET        2l       10w      149c http://10.129.64.97/Fonts => http://10.129.64.97/Fonts/
